,Rank,Name,Net_Worth,Age,Citizenship,Source,Industry
1298,1272,Matthias Reinhart,$2.4 B,63,Switzerland,Financial services,Finance & Investments
1299,1272,Arnout Schuijff,$2.4 B,55,Netherlands,Payments software,Technology
1300,1272,Hans Sy,$2.4 B,67,Philippines,Diversified,Diversified
1301,1272,Herbert Sy,$2.4 B,66,Philippines,Diversified,Diversified
1302,1272,Lucio Tan,$2.4 B,88,Philippines,Diversified,Diversified
1303,1272,Tsai Ming-kai,$2.4 B,72,Taiwan,Semiconductors,Technology
1304,1272,Ted Turner,$2.4 B,84,United States,Cable television,Media & Entertainment
1305,1272,David Walentas,$2.4 B,84,United States,Real estate,Real Estate
1306,1272,Urs Wietlisbach,$2.4 B,61,Switzerland,Private equity,Finance & Investments
1307,1272,Jerry Yang,$2.4 B,54,United States,Yahoo,Technology
1308,1272,Yang Jianliang & family,$2.4 B,53,China,Machinery,Manufacturing
1309,1272,Yang Weidong & family,$2.4 B,54,China,Chemicals,Manufacturing
1310,1272,Mortimer Zuckerman,$2.4 B,85,United States,"Real estate, media",Real Estate
1311,1312,John Armitage,$2.3 B,63,Ireland,Hedge funds,Finance & Investments
1312,1312,Lee Bass,$2.3 B,66,United States,"Oil, investments",Energy
1313,1312,John Bicket,$2.3 B,43,United States,Sensor systems,Technology
1314,1312,Sanjit Biswas,$2.3 B,41,United States,Sensor systems,Technology
1315,1312,Timothy Boyle,$2.3 B,73,United States,Columbia Sportswear,Fashion & Retail
1316,1312,Morris Chang,$2.3 B,91,Taiwan,Semiconductors,Technology
1317,1312,Chao Teng-hsiung,$2.3 B,78,Taiwan,Real estate,Real Estate
1318,1312,Samuel Chen,$2.3 B,73,Taiwan,Investments,Finance & Investments
1319,1312,Chu Lam Yiu,$2.3 B,53,Hong Kong,Flavorings,Manufacturing
1320,1312,K. Dinesh,$2.3 B,68,India,Software services,Technology
1321,1312,James Duff,$2.3 B,62,United States,"Tires, diversified",Diversified
1322,1312,Thomas Duff,$2.3 B,66,United States,"Tires, diversified",Diversified
1323,1312,Daniel Ek,$2.3 B,40,Sweden,Spotify,Technology
1324,1312,John Fisher,$2.3 B,61,United States,Gap,Fashion & Retail
1325,1312,Georg Haub,$2.3 B,61,Germany,Retail,Fashion & Retail
1326,1312,Erman Ilicak,$2.3 B,55,Turkey,Construction,Construction & Engineering
1327,1312,Justin Ishbia,$2.3 B,45,United States,Private equity,Finance & Investments
1328,1312,Long Jiang,$2.3 B,49,China,Manufacturing,Technology
1329,1312,Bruce Karsh,$2.3 B,67,United States,Private equity,Finance & Investments
1330,1312,Bom Kim,$2.3 B,44,United States,Online retailing,Technology
1331,1312,Jianping Lai,$2.3 B,N/A,China,Soy sauce,Food & Beverage
1332,1312,Lam Kong,$2.3 B,58,China,Pharmaceuticals,Healthcare
1333,1312,Stephen Lansdown,$2.3 B,70,Guernsey,Financial services,Finance & Investments
1334,1312,Kevin David Lehmann,$2.3 B,20,Germany,Drugstores,Fashion & Retail
1335,1312,Li Haiyan,$2.3 B,N/A,China,Restaurants,Food & Beverage
1336,1312,Hua Li,$2.3 B,45,China,Financial services,Finance & Investments
1337,1312,Lim Kok Thay,$2.3 B,71,Malaysia,Casinos,Gambling & Casinos
1338,1312,Kishore Mariwala,$2.3 B,88,India,Consumer goods,Food & Beverage
1339,1312,Clayton Mathile,$2.3 B,82,United States,Pet food,Food & Beverage
1340,1312,Mi Enhua,$2.3 B,65,China,Retail,Fashion & Retail
1341,1312,Vadim Moshkovich,$2.3 B,55,Russia,"Agriculture, land",Food & Beverage
1342,1312,David Murdock,$2.3 B,99,United States,"Dole, real estate",Food & Beverage
1343,1312,David Nahmad,$2.3 B,75,Monaco,Art collection,Fashion & Retail
1344,1312,Lirio Parisotto,$2.3 B,69,Brazil,Investments,Finance & Investments
1345,1312,Augusto Perfetti,$2.3 B,N/A,Italy,Candy,Food & Beverage
1346,1312,Giorgio Perfetti,$2.3 B,N/A,Italy,Candy,Food & Beverage
1347,1312,Alberto Prada,$2.3 B,69,Italy,Luxury goods,Fashion & Retail
1348,1312,Marina Prada,$2.3 B,77,Italy,Luxury goods,Fashion & Retail
1349,1312,Filiz Sahenk,$2.3 B,56,Turkey,Diversified,Diversified
1350,1312,Richard Sands,$2.3 B,72,United States,Liquor,Food & Beverage
1351,1312,Stephan Schmidheiny,$2.3 B,75,Switzerland,Investments,Finance & Investments
1352,1312,Alberto Siccardi & family,$2.3 B,78,Switzerland,Medical devices,Healthcare
1353,1312,Stefan Soloviev,$2.3 B,47,United States,"Real estate, grains",Real Estate
1354,1312,Tang Yiu,$2.3 B,89,Hong Kong,Fashion retail,Fashion & Retail
1355,1312,Tian Ming,$2.3 B,69,China,Measuring instruments,Technology
1356,1312,T.Y. Tsai,$2.3 B,70,Taiwan,Finance,Finance & Investments
1357,1312,Jayshree Ullal,$2.3 B,62,United States,Computer networking,Technology
1358,1312,Georg von Opel,$2.3 B,56,Switzerland,"Real estate, investments",Finance & Investments
1359,1312,Lang Walker,$2.3 B,77,Australia,Real estate,Real Estate
1360,1312,Xicheng Wang & family,$2.3 B,74,China,Tires,Manufacturing
1361,1312,Wang Zhenhua,$2.3 B,61,China,Real estate,Real Estate
1362,1312,Paul-Heinz Wesjohann & family,$2.3 B,79,Germany,Chicken processing,Food & Beverage
1363,1312,Xie Bingkun & family,$2.3 B,56,China,Pearlescent pigments,Fashion & Retail
1364,1312,Xu Shugen,$2.3 B,57,China,"Construction, mining machinery",Manufacturing
1365,1312,Christoph Zeller,$2.3 B,65,Liechtenstein,Dental materials,Healthcare
1366,1312,Zhang Jingzhang & family,$2.3 B,87,China,Precision machinery,Manufacturing
1367,1368,George Argyros & family,$2.2 B,86,United States,"Real estate, investments",Real Estate
1368,1368,Brian Armstrong,$2.2 B,40,United States,Cryptocurrency,Finance & Investments
1369,1368,Albert Avdolyan,$2.2 B,52,Russia,"Oil, mining",Energy
1370,1368,Sezai Bacaksiz,$2.2 B,73,Turkey,Diversified,Diversified
1371,1368,Aneel Bhusri,$2.2 B,57,United States,Business software,Technology
1372,1368,Brett Blundy,$2.2 B,63,Australia,"Retail, agribusiness",Fashion & Retail
1373,1368,J. Hyatt Brown,$2.2 B,85,United States,Insurance,Finance & Investments
1374,1368,Chen Jinxia,$2.2 B,55,China,Investments,Finance & Investments
1375,1368,Chen Xueli,$2.2 B,71,China,Pharmaceuticals,Healthcare
1376,1368,Dermot Desmond,$2.2 B,72,Ireland,Finance,Finance & Investments
1377,1368,Dong Wei,$2.2 B,52,China,Pharmaceuticals,Healthcare
1378,1368,Tom Ford,$2.2 B,61,United States,Fashion,Fashion & Retail
1379,1368,Fu Guangming & family,$2.2 B,69,China,Poultry,Food & Beverage
1380,1368,Noam Gottesman,$2.2 B,61,United States,Hedge funds,Finance & Investments
1381,1368,Jeffrey Gundlach,$2.2 B,64,United States,Investments,Finance & Investments
1382,1368,Hao Hong,$2.2 B,67,United States,Pharmaceuticals,Healthcare
1383,1368,Shmuel Harlap,$2.2 B,78,Israel,Automotive,Automotive
1384,1368,Hans-Werner Hector,$2.2 B,83,Germany,SAP,Technology
1385,1368,Lutz Mario Helmig & family,$2.2 B,76,Germany,Hospitals,Healthcare
1386,1368,Chulong Huang,$2.2 B,64,Canada,Real estate,Real Estate
1387,1368,Thomas James,$2.2 B,80,United States,Finance,Finance & Investments
1388,1368,James Jannard,$2.2 B,73,United States,Sunglasses,Fashion & Retail
1389,1368,Willis Johnson,$2.2 B,75,United States,Damaged cars,Automotive
1390,1368,Lai Shixian,$2.2 B,48,China,Sports apparel,Fashion & Retail
1391,1368,Chris Larsen,$2.2 B,62,United States,Cryptocurrency,Finance & Investments
1392,1368,Solomon Lew,$2.2 B,78,Australia,Retail,Fashion & Retail
1393,1368,Liang Xinjun,$2.2 B,54,Singapore,Conglomerate,Diversified
1394,1368,Harald Link,$2.2 B,68,Thailand,Diversified,Diversified
1395,1368,Max Lytvyn,$2.2 B,43,Canada,Software,Technology
1396,1368,Igor Makarov,$2.2 B,60,Cyprus,Investments,Energy
1397,1368,Howard Marks,$2.2 B,76,United States,Private equity,Finance & Investments
1398,1368,Charles Munger,$2.2 B,99,United States,Berkshire Hathaway,Finance & Investments
1399,1368,Adam Neumann,$2.2 B,44,Israel,WeWork,Real Estate
1400,1368,Thi Phuong Thao Nguyen,$2.2 B,52,Vietnam,Airlines,Diversified
1401,1368,Ni Yongpei & family,$2.2 B,71,China,Beverages,Food & Beverage
1402,1368,Heloise Pratt,$2.2 B,60,Australia,"Manufacturing, investment",Manufacturing
1403,1368,Qi Xiangdong,$2.2 B,52,China,Software,Technology
1404,1368,Phillip T. (Terry) Ragon,$2.2 B,73,United States,Health IT,Technology
1405,1368,Prathap Reddy,$2.2 B,91,India,Healthcare,Healthcare
1406,1368,Jerry Reinsdorf,$2.2 B,87,United States,Sports teams,Sports
1407,1368,Chad Richison,$2.2 B,52,United States,Payroll processing,Technology
1408,1368,"Karl Scheufele, III. & family",$2.2 B,84,Switzerland,Jewelry,Fashion & Retail
1409,1368,Alice Schwartz,$2.2 B,96,United States,Biotech,Healthcare
1410,1368,Alex Shevchenko,$2.2 B,43,Canada,Software,Technology
1411,1368,Kavitark Ram Shriram,$2.2 B,66,United States,"Venture capital, Google",Technology
1412,1368,Jeffrey Soffer,$2.2 B,55,United States,Real estate,Real Estate
1413,1368,William Stone,$2.2 B,67,United States,Software,Technology
1414,1368,Henry Swieca,$2.2 B,65,United States,Hedge funds,Finance & Investments
1415,1368,Harley Sy,$2.2 B,63,Philippines,Diversified,Diversified
1416,1368,Teresita Sy-Coson,$2.2 B,72,Philippines,Diversified,Diversified
1417,1368,Katsumi Tada,$2.2 B,77,Japan,Real estate,Real Estate
1418,1368,Tang Jinkui & family,$2.2 B,67,China,"Textiles, petrochemicals",Manufacturing
1419,1368,Tang Xiao'ou,$2.2 B,55,Hong Kong,Software,Technology
1420,1368,Lottie Tham & family,$2.2 B,73,Sweden,H&M,Fashion & Retail
1421,1368,Shamsheer Vayalil,$2.2 B,46,India,Healthcare,Healthcare
1422,1368,Radha Vembu,$2.2 B,50,India,Business software,Technology
1423,1368,Wang Wenmo,$2.2 B,66,China,Sports apparel,Fashion & Retail
1424,1368,Wang Zhenghua,$2.2 B,78,China,Budget airline,Service
1425,1368,David Wertheim,$2.2 B,65,Israel,Coca-Cola Israel,Food & Beverage
1426,1368,Kai Wu,$2.2 B,55,China,Batteries,Energy
1427,1368,Xu Yingzhuo,$2.2 B,55,China,Agribusiness,Food & Beverage
1428,1368,Yeung Kin-man,$2.2 B,59,Hong Kong,Electronics,Manufacturing
1429,1368,Huijiao Yu,$2.2 B,57,China,Package delivery,Logistics
1430,1368,Oren Zeev,$2.2 B,58,Israel,Investments,Finance & Investments
1431,1368,Clayton Zekelman,$2.2 B,54,Canada,Steel,Manufacturing
1432,1368,Zhao Fenggang,$2.2 B,57,China,Batteries,Energy
1433,1434,Alex Beard,$2.1 B,55,United Kingdom,"Mining, commodities",Metals & Mining
1434,1434,Travis Boersma,$2.1 B,52,United States,Coffee,Food & Beverage
1435,1434,Martin Bouygues,$2.1 B,N/A,France,"Construction, media",Construction & Engineering
1436,1434,Olivier Bouygues,$2.1 B,72,France,"Construction, media",Construction & Engineering
1437,1434,William Boyd & family,$2.1 B,91,United States,"Casinos, banking",Gambling & Casinos
1438,1434,Anand Burman,$2.1 B,70,India,Consumer goods,Food & Beverage
1439,1434,Cao Ji,$2.1 B,71,China,Manufacturing,Manufacturing
1440,1434,Bruce Cheng,$2.1 B,86,Taiwan,Electronics,Technology
1441,1434,Chi Yufeng,$2.1 B,52,China,Software,Technology
1442,1434,Daniel Chiu,$2.1 B,62,Hong Kong,Oil & gas,Energy
1443,1434,Beda Diethelm,$2.1 B,82,Switzerland,Hearing aids,Healthcare
1444,1434,Domenico Dolce,$2.1 B,64,Italy,Luxury goods,Fashion & Retail
1445,1434,Ralph Dommermuth,$2.1 B,59,Germany,Internet service provider,Technology
1446,1434,Georgi Domuschiev,$2.1 B,50,Bulgaria,"Animal health, investments",Diversified
1447,1434,Kiril Domuschiev,$2.1 B,53,Bulgaria,"Animal health, investments",Diversified
1448,1434,Bob Ell,$2.1 B,78,Australia,Real estate,Real Estate
1449,1434,Paul Foster,$2.1 B,65,United States,Oil refining,Energy
1450,1434,Stefano Gabbana,$2.1 B,60,Italy,Luxury goods,Fashion & Retail
1451,1434,Xingjiang Gao,$2.1 B,59,China,Steel,Manufacturing
1452,1434,Gordon Getty,$2.1 B,89,United States,Getty Oil,Energy
1453,1434,Kamal Ghaffarian,$2.1 B,64,United States,"Space, energy",Energy
1454,1434,Dennis Gillings,$2.1 B,78,United Kingdom,Clinical trials,Healthcare
1455,1434,Harsh Goenka,$2.1 B,65,India,Diversified,Diversified
1456,1434,Sanjiv Goenka,$2.1 B,62,India,Diversified,Diversified
1457,1434,Jane Goldman,$2.1 B,67,United States,Real estate,Real Estate
1458,1434,Stein Erik Hagen,$2.1 B,66,Norway,Consumer goods,Fashion & Retail
1459,1434,Bahaa Hariri,$2.1 B,56,Lebanon,"Real estate, investments",Real Estate
1460,1434,Hortensia Herrero,$2.1 B,72,Spain,Supermarkets,Fashion & Retail
1461,1434,Douglas Hsu,$2.1 B,80,Taiwan,Diversified,Diversified
1462,1434,Huang Min,$2.1 B,49,China,Machinery,Manufacturing
1463,1434,Jared Isaacman,$2.1 B,40,United States,Payment processing,Technology
1464,1434,Eugene Kaspersky,$2.1 B,57,Russia,Software,Technology
1465,1434,Artem Khachatryan,$2.1 B,48,Russia,Retail,Fashion & Retail
1466,1434,Andrei Krivenko,$2.1 B,47,Russia,Retail,Food & Beverage
1467,1434,Thomas Kwok,$2.1 B,71,Hong Kong,Real estate,Real Estate
1468,1434,Lam Wai-ying,$2.1 B,N/A,Hong Kong,Smartphone screens,Manufacturing
1469,1434,Marc Lasry,$2.1 B,62,United States,Hedge funds,Finance & Investments
1470,1434,Christian Latouche & family,$2.1 B,82,France,Accounting services,Finance & Investments
1471,1434,Theodore Leonsis,$2.1 B,67,United States,Sports teams,Sports
1472,1434,Lin Chang Su-O,$2.1 B,82,Taiwan,Real estate,Real Estate
1473,1434,Liu Chengyu & family,$2.1 B,60,China,Power supply equipment,Manufacturing
1474,1434,Sergey Lomakin,$2.1 B,49,Russia,Retail,Fashion & Retail
1475,1434,Daniel Lubetzky,$2.1 B,54,United States,Snack bars,Food & Beverage
1476,1434,Melissa Ma,$2.1 B,N/A,China,Internet search,Technology
1477,1434,Anand Mahindra,$2.1 B,67,India,Diversified,Diversified
1478,1434,Rafique Malik,$2.1 B,72,India,Footwear,Fashion & Retail
1479,1434,Katarina Martinson,$2.1 B,41,Sweden,Investments,Diversified
1480,1434,Kiran Mazumdar-Shaw,$2.1 B,70,India,Biopharmaceuticals,Healthcare
1481,1434,Nirmal Minda,$2.1 B,65,India,Auto parts,Automotive
1482,1434,Mu Rongjun,$2.1 B,43,China,E-commerce,Technology
1483,1434,Eugene Murtagh,$2.1 B,80,Ireland,Building materials,Manufacturing
1484,1434,Alexander Nesis,$2.1 B,60,Russia,"Metals, banking, fertilizers",Finance & Investments
1485,1434,Zugen Ni,$2.1 B,66,China,Appliances,Manufacturing
1486,1434,Florentino Perez,$2.1 B,76,Spain,Construction,Construction & Engineering
1487,1434,Victor Pinchuk,$2.1 B,62,Ukraine,"Steel pipes, diversified",Metals & Mining
1488,1434,Leonid Radvinsky,$2.1 B,40,United States,E-commerce,Technology
1489,1434,Raveendran Byju,$2.1 B,41,India,Education technology,Technology
1490,1434,P.P. Reddy,$2.1 B,65,India,Infrastructure,Construction & Engineering
1491,1434,Richard Saghian,$2.1 B,41,United States,Fast fashion,Fashion & Retail
1492,1434,Shi Yifeng,$2.1 B,49,China,Medical cosmetics,Healthcare
1493,1434,Thaksin Shinawatra,$2.1 B,73,Thailand,Investments,Finance & Investments
1494,1434,Shu Ping,$2.1 B,53,Singapore,Restaurants,Food & Beverage
1495,1434,Timothy Springer,$2.1 B,75,United States,Biotech,Healthcare
1496,1434,Venu Srinivasan,$2.1 B,70,India,Two-wheelers,Automotive
1497,1434,Edward Stack,$2.1 B,68,United States,Dick's Sporting Goods,Fashion & Retail
1498,1434,Sun Mengquan & family,$2.1 B,73,China,Edible oil,Food & Beverage
1499,1434,Alexander Svetakov,$2.1 B,55,Russia,Real estate,Finance & Investments
1500,1434,Torsten Toeller,$2.1 B,56,Germany,Pet food,Fashion & Retail
1501,1434,Barbara Tyson,$2.1 B,74,United States,Food processing,Food & Beverage
1502,1434,Hamdi Ulukaya,$2.1 B,50,Turkey,Greek yogurt,Food & Beverage
1503,1434,Wang Linpeng,$2.1 B,54,China,Furniture retailing,Construction & Engineering
1504,1434,Wei Ing-Chou,$2.1 B,69,Taiwan,"Food, beverages",Food & Beverage
1505,1434,Wei Yin-Chun,$2.1 B,66,Taiwan,"Food, beverages",Food & Beverage
1506,1434,Wei Yin-Heng,$2.1 B,64,Taiwan,"Food, beverages",Food & Beverage
1507,1434,Wei Ying-Chiao,$2.1 B,68,Taiwan,"Food, beverages",Food & Beverage
1508,1434,Elaine Wynn,$2.1 B,80,United States,"Casinos, hotels",Gambling & Casinos
1509,1434,Xu Xudong & family,$2.1 B,53,China,Auto parts,Automotive
1510,1434,Michael Ying,$2.1 B,73,Hong Kong,Retail,Fashion & Retail
1511,1434,Yu Qibing & family,$2.1 B,57,China,Glass,Manufacturing
1512,1434,Yuan Fugen & family,$2.1 B,72,China,Metal processing,Manufacturing
1513,1434,Zhang Ning & family,$2.1 B,49,Canada,Chemicals,Manufacturing
1514,1434,Zhao Tao,$2.1 B,57,Singapore,Pharmaceuticals,Healthcare
1515,1516,Anu Aga,$2 B,80,India,Engineering,Construction & Engineering
1516,1516,Mohamed Al Fayed,$2 B,94,Egypt,"Retail, investments",Fashion & Retail
1517,1516,Andrey Andreev,$2 B,49,United Kingdom,Online dating,Technology
1518,1516,Michael Ashcroft,$2 B,77,United Kingdom,Security,Finance & Investments
1519,1516,Pavel Baudis,$2 B,62,Czech Republic,Software,Technology
1520,1516,Wilhelm Beier & family,$2 B,66,Germany,Pharmaceuticals,Healthcare
1521,1516,Cao Jianwei,$2 B,44,China,Semiconductors,Manufacturing
1522,1516,Huwen Chen,$2 B,52,China,Stationery,Manufacturing
1523,1516,Phongthep Chiaravanont,$2 B,71,Thailand,Diversified,Diversified
1524,1516,Dou Zhenggang,$2 B,69,China,"Energy, chemicals",Diversified
1525,1516,Maria Franca Fissolo,$2 B,88,Italy,"Nutella, chocolates",Food & Beverage
1526,1516,William Franke,$2 B,85,United States,Low-cost airlines,Diversified
1527,1516,Mario Germano Giuliani,$2 B,51,Switzerland,Pharmaceuticals,Healthcare
1528,1516,Amy Goldman Fowler,$2 B,68,United States,Real estate,Real Estate
1529,1516,John Hancock,$2 B,47,Australia,Mining,Metals & Mining
1530,1516,Hu Yangzhong,$2 B,58,China,Technology,Technology
1531,1516,Huang Dawen,$2 B,62,Hong Kong,Silicon,Manufacturing
1532,1516,Huang Qiaoling,$2 B,64,China,Amusement parks,Media & Entertainment
1533,1516,Rajiv Jain,$2 B,55,United States,Finance,Finance & Investments
1534,1516,Michael Jordan,$2 B,60,United States,"Charlotte Hornets, endorsements",Sports
1535,1516,Diane Kemper,$2 B,77,United States,Real estate,Real Estate
1536,1516,Shlomo Kramer,$2 B,57,Israel,"Software, investments",Technology
1537,1516,Heikki Kyostila,$2 B,77,Finland,Dental products,Healthcare
1538,1516,Martin Lau,$2 B,50,Hong Kong,E-commerce,Technology
1539,1516,Li Min,$2 B,57,China,Semiconductor,Technology
1540,1516,Liang Rubo,$2 B,40,China,TikTok,Technology
1541,1516,Liang Zhaoxian,$2 B,58,China,Appliances,Manufacturing
1542,1516,Lin Fanlian,$2 B,61,China,"Energy, real estate",Energy
1543,1516,Aloke Lohia,$2 B,64,India,Petrochemicals,Manufacturing
1544,1516,Bill Malhotra,$2 B,73,Canada,Real estate,Real Estate
1545,1516,Alexander Mamut,$2 B,63,Russia,Investments,Finance & Investments
1546,1516,Craig McCaw,$2 B,73,United States,Telecom,Telecom
1547,1516,Cunhui Nan,$2 B,59,China,Power equipment,Manufacturing
1548,1516,Tengyun Nie & family,$2 B,47,China,Logistics,Service
1549,1516,Oei Hong Leong,$2 B,75,Singapore,Investments,Finance & Investments
1550,1516,Clive Palmer,$2 B,69,Australia,Mining,Metals & Mining
1551,1516,Matthew Prince,$2 B,48,United States,Cybersecurity,Technology
1552,1516,Linda Pritzker,$2 B,69,United States,"Hotels, investments",Service
1553,1516,P.V. Krishna Reddy,$2 B,53,India,Infrastructure,Construction & Engineering
1554,1516,Bianca Rinehart,$2 B,46,Australia,Mining,Metals & Mining
1555,1516,Ginia Rinehart,$2 B,36,Australia,Mining,Metals & Mining
1556,1516,T. Denny Sanford,$2 B,87,United States,"Banking, credit cards",Finance & Investments
1557,1516,Bhadresh Shah,$2 B,71,India,Engineering,Manufacturing
1558,1516,Zygmunt Solorz-Zak,$2 B,66,Poland,TV broadcasting,Media & Entertainment
1559,1516,Michal Strnad,$2 B,30,Czech Republic,Defense Contracting,Manufacturing
1560,1516,Sylvia Stroeher,$2 B,67,Germany,Cosmetics,Fashion & Retail
1561,1516,Otto Toto Sugiri,$2 B,69,Indonesia,Data centers,Technology
1562,1516,Larry Tanenbaum,$2 B,77,Canada,Sports,Sports
1563,1516,Wichai Thongtang,$2 B,76,Thailand,Investments,Finance & Investments
1564,1516,Ion Tiriac,$2 B,83,Romania,"Banking, insurance",Finance & Investments
1565,1516,Hope Welker,$2 B,37,Australia,Mining,Metals & Mining
1566,1516,William Young,$2 B,82,United States,Plastics,Manufacturing
1567,1516,Ales Zavoral,$2 B,46,Czech Republic,E-commerce,Fashion & Retail
1568,1516,Zhang Fan,$2 B,57,China,Touch screens,Technology
1569,1516,Shilong Zhang & family,$2 B,57,China,Semiconductor,Technology
1570,1516,Zhang Wanzhen,$2 B,73,China,Electronics components,Manufacturing
1571,1516,Hongfei Zhao,$2 B,48,China,Software,Technology
1572,1516,Zhou Jian,$2 B,46,China,Solar energy equipment,Energy
1573,1516,Zhu Yiwen & family,$2 B,59,China,Healthcare,Healthcare
1574,1575,Roberto Angelini Rossi,$1.9 B,74,Chile,"Forestry, mining",Diversified
1575,1575,Mika Anttonen,$1.9 B,56,Finland,Oil & gas,Energy
1576,1575,David Blitzer,$1.9 B,53,United States,Sports,Sports
1577,1575,Julio Bozano,$1.9 B,87,Brazil,Banking,Finance & Investments
1578,1575,Nikolai Buinov,$1.9 B,55,Russia,"Oil, gas",Energy
1579,1575,Nicola Bulgari,$1.9 B,82,Italy,Luxury goods,Fashion & Retail
1580,1575,"Howard Butt, III. & family",$1.9 B,71,United States,Supermarkets,Fashion & Retail
1581,1575,Stephen Butt & family,$1.9 B,67,United States,Supermarkets,Fashion & Retail
1582,1575,Jianxing Che,$1.9 B,56,China,Furniture retailing,Fashion & Retail
1583,1575,Huxiong Chen,$1.9 B,52,China,Stationery,Manufacturing
1584,1575,Chen Qiongxiang,$1.9 B,N/A,China,Batteries,Energy
1585,1575,Chen Zhisong,$1.9 B,57,China,Communication equipment,Technology
1586,1575,Manas Chiaravanond,$1.9 B,N/A,Thailand,Diversified,Diversified
1587,1575,Prathip Chiravanond,$1.9 B,74,Thailand,Diversified,Diversified
1588,1575,Alexandra Daitch,$1.9 B,60,United States,Cargill,Food & Beverage
1589,1575,Sol Daurella,$1.9 B,57,Spain,Coca-Cola bottler,Food & Beverage
1590,1575,Mark Davis,$1.9 B,67,United States,Las Vegas Raiders,Sports
1591,1575,James Dinan,$1.9 B,63,United States,Hedge funds,Finance & Investments
1592,1575,Dong Fan,$1.9 B,53,China,Medical devices,Healthcare
1593,1575,Fritz Draexlmaier,$1.9 B,N/A,Germany,Auto parts,Automotive
1594,1575,Bulent Eczacibasi,$1.9 B,73,Turkey,"Pharmaceuticals, diversified",Diversified
1595,1575,Faruk Eczacibasi,$1.9 B,68,Turkey,"Pharmaceuticals, diversified",Diversified
1596,1575,Eduardo Eurnekian,$1.9 B,90,Argentina,"Airports, investments",Diversified
1597,1575,David Fong,$1.9 B,65,Hong Kong,Real estate,Real Estate
1598,1575,Guo Zhenyu & family,$1.9 B,59,Canada,Cosmetics,Fashion & Retail
1599,1575,Surjit Kumar Gupta,$1.9 B,81,India,Electrical equipment,Manufacturing
1600,1575,Caroline Hagen Kjos,$1.9 B,39,Norway,Conglomerate,Diversified
1601,1575,Roberto Herna&#769;ndez Ramirez,$1.9 B,81,Mexico,"Banking, investments",Finance & Investments
1602,1575,Reid Hoffman,$1.9 B,55,United States,LinkedIn,Technology
1603,1575,Hu Rongda & family,$1.9 B,64,China,Chemicals,Manufacturing
1604,1575,"B. Wayne Hughes, Jr.",$1.9 B,63,United States,Storage facilities,Real Estate
1605,1575,Hui Wing Mau,$1.9 B,72,Hong Kong,Real estate,Real Estate
1606,1575,Scott Kapnick,$1.9 B,64,United States,Private equity,Finance & Investments
1607,1575,Richard Kayne,$1.9 B,77,United States,Investments,Finance & Investments
1608,1575,Dominika Kulczyk,$1.9 B,45,Poland,Diversified,Finance & Investments
1609,1575,Edward Lampert,$1.9 B,60,United States,Sears,Finance & Investments
1610,1575,Somsri Lamsam,$1.9 B,N/A,Thailand,Diversified,Diversified
1611,1575,James Leprino,$1.9 B,85,United States,Cheese,Food & Beverage
1612,1575,David Lichtenstein,$1.9 B,61,United States,Real estate,Real Estate
1613,1575,Lin Dingqiang & family,$1.9 B,56,Hong Kong,Real estate,Real Estate
1614,1575,Sarah MacMillan,$1.9 B,69,United States,Cargill,Food & Beverage
1615,1575,Strive Masiyiwa,$1.9 B,62,Zimbabwe,Telecom,Telecom
1616,1575,Robert Miller,$1.9 B,89,United Kingdom,Retail,Fashion & Retail
1617,1575,Simon Nixon,$1.9 B,55,United Kingdom,Price comparison website,Technology
1618,1575,Kentaro Ogawa,$1.9 B,74,Japan,Restaurants,Food & Beverage
1619,1575,Ajay Parekh,$1.9 B,65,India,Adhesives,Manufacturing
1620,1575,Narendrakumar Parekh,$1.9 B,84,India,Adhesives,Manufacturing
1621,1575,Jennifer Pritzker,$1.9 B,72,United States,"Hotels, investments",Finance & Investments
1622,1575,G. Rajendran,$1.9 B,80,India,Jewellery,Fashion & Retail
1623,1575,Ren Jianhua,$1.9 B,66,China,Kitchen appliances,Manufacturing
1624,1575,Larry Robbins,$1.9 B,53,United States,Hedge funds,Finance & Investments
1625,1575,Dwight Schar,$1.9 B,81,United States,"Homebuilding, NFL team",Construction & Engineering
1626,1575,Shao Jianxiong,$1.9 B,N/A,China,Photovoltaics,Energy
1627,1575,Qinxiang Shao,$1.9 B,68,China,Diversified,Manufacturing
1628,1575,Hua Shen,$1.9 B,60,United States,Semiconductors,Technology
1629,1575,Shi Wen-long,$1.9 B,95,Taiwan,Plastics,Manufacturing
1630,1575,Peter Sondakh,$1.9 B,73,Indonesia,Investments,Finance & Investments
1631,1575,Lucy Stitzer,$1.9 B,63,United States,Cargill,Food & Beverage
1632,1575,Elizabeth Sy,$1.9 B,70,Philippines,Diversified,Diversified
1633,1575,Hermanto Tanoko,$1.9 B,60,Indonesia,Paints,Manufacturing
1634,1575,Mehmet Sinan Tara,$1.9 B,64,Turkey,Construction,Construction & Engineering
1635,1575,Masateru Uno & family,$1.9 B,76,Japan,Drugstores,Fashion & Retail
1636,1575,Vardis Vardinoyannis & family,$1.9 B,90,Greece,Oil and gas,Energy
1637,1575,Jitendra Virwani,$1.9 B,57,India,Real estate,Real Estate
1638,1575,Wang Chaobin,$1.9 B,67,China,Real estate,Real Estate
1639,1575,Wang Ren-sheng,$1.9 B,91,Taiwan,Retail,Fashion & Retail
